hotel_name,hotel_star,room_name,room_area,bed_detail,available_guests,root_price,discount_rate,price,description
Ruby Saigon Hotel Le Thanh Ton,3,Superior Double or Twin Room,20.0,"2 twin beds,1 queen bed",2,6000000.0,85.0,900000.0,
Ruby Saigon Hotel Le Thanh Ton,3,Deluxe Double or Twin Room,20.0,"1 queen bed,2 twin beds",2,6300000.0,85.0,945000.0,
Ruby Saigon Hotel Le Thanh Ton,3,Deluxe Triple Room,28.0,"1 twin bed,1 queen bed",3,6600000.0,85.0,990000.0,
Ruby Saigon Hotel Le Thanh Ton,3,Suite with City View,38.0,,3,7600000.0,85.0,1140000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,Deluxe King Studio,35.0,1 king bed,2,450000.0,20.0,360000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,Studio Apartment,30.0,,2,810000.0,20.0,648000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,,,,2,900000.0,20.0,720000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,,,,1,729000.0,20.0,583200.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,,,,1,810000.0,20.0,648000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,Two-Bedroom Apartment,97.0,,4,1710000.0,20.0,1368000.0,
Elysium CBD Rivergate Apartment - Gym & Pool - Free 4G sim for 3 nights,0,Three-Bedroom Apartment,110.0,,1,2160000.0,20.0,1728000.0,
HANZ SEN Hotel,2,Standard Double Room,20.0,1 full bed,2,702137.0,42.0,407239.0,
HANZ SEN Hotel,2,Deluxe Room,23.0,1 queen bed,2,786392.0,42.0,456107.0,
HANZ The Beautiful Boutique Hotel,3,Standard Queen Room,18.0,1 queen bed,2,683430.0,47.0,362218.0,
HANZ The Beautiful Boutique Hotel,3,Superior Queen Room,22.0,1 queen bed,2,805364.0,47.0,426843.0,
HANZ The Beautiful Boutique Hotel,3,Triple Room with City View,25.0,"1 twin bed,1 queen bed",3,1021542.0,47.0,541417.0,
Ibis Saigon Airport,4,Standard Queen Room - Complimentary Round-trip Airport Transfer upon request,18.0,1 queen bed,2,1470640.0,,1470640.0,
Ibis Saigon Airport,4,,,,2,2012976.0,,2012976.0,
Ibis Saigon Airport,4,,,,1,1741808.0,,1741808.0,
Ibis Saigon Airport,4,Standard Twin Room -Complimentary Round-trip Airport Transfer upon request,18.0,2 twin beds,2,1470640.0,,1470640.0,
Ibis Saigon Airport,4,,,,2,2012976.0,,2012976.0,
Ibis Saigon Airport,4,,,,1,1741808.0,,1741808.0,
Ibis Saigon Airport,4,Family Room - Complimentary Round-trip Airport Transfer upon request,26.0,"1 bunk bed,1 queen bed",2,1703640.0,,1703640.0,
Ibis Saigon Airport,4,,,,2,2245976.0,,2245976.0,
Ibis Saigon Airport,4,,,,1,1974808.0,,1974808.0,
Ibis Saigon Airport,4,King Studio - Complimentary Round-trip Airport Transfer upon request,36.0,1 king bed,2,1983240.0,,1983240.0,
Ibis Saigon Airport,4,,,,2,2525576.0,,2525576.0,
Ibis Saigon Airport,4,,,,1,2254408.0,,2254408.0,
Ibis Saigon Airport,4,One-Bedroom Apartment - Complimentary Round-trip Airport Transfer upon request,54.0,,2,2402640.0,,2402640.0,
Ibis Saigon Airport,4,,,,2,2944976.0,,2944976.0,
Ibis Saigon Airport,4,,,,1,2673808.0,,2673808.0,
LANGHAM Boutiqu Hotel,3,Standard Double Room,,1 full bed,2,726750.0,,726750.0,
LANGHAM Boutiqu Hotel,3,Superior Double or Twin Room with City View,,1 full bed,2,897750.0,,897750.0,
LANGHAM Boutiqu Hotel,3,Deluxe Queen Room,17.0,1 queen bed,2,1068750.0,,1068750.0,
LANGHAM Boutiqu Hotel,3,Studio,19.0,1 queen bed,2,1239750.0,,1239750.0,
LANGHAM Boutiqu Hotel,3,Suite with City View,24.0,,2,1325250.0,,1325250.0,
Goldview Apartment Luxury,0,Two-Bedroom Apartment,81.0,,4,5000000.0,67.0,1650000.0,
Nicecy Saigon Hotel,3,Deluxe Twin Room,28.0,2 twin beds,2,1564033.0,49.0,797657.0,
Nicecy Saigon Hotel,3,,,,2,1646350.0,49.0,839639.0,
Nicecy Saigon Hotel,3,Superior Double Room (No window),20.0,1 queen bed,2,1651575.0,49.0,842303.0,
Nicecy Saigon Hotel,3,,,,2,1738500.0,49.0,886635.0,
Nicecy Saigon Hotel,3,Deluxe Double or Twin Room,28.0,1 queen bed,2,2005555.0,49.0,1022833.0,
Nicecy Saigon Hotel,3,,,,2,2111111.0,49.0,1076667.0,
Nicecy Saigon Hotel,3,Premier Deluxe Double Room,28.0,1 queen bed,2,2205710.0,49.0,1124912.0,
Nicecy Saigon Hotel,3,,,,2,2321800.0,49.0,1184118.0,
Nicecy Saigon Hotel,3,Suite,38.0,,2,2406065.0,49.0,1227093.0,
Nicecy Saigon Hotel,3,,,,2,2532700.0,49.0,1291677.0,
